,ID,innings,batter,bowler,batting_strength,bowling_strength,total_run
0,335982,1,['SC Ganguly' 'BB McCullum' 'RT Ponting'],['P Kumar' 'Z Khan' 'AA Noffke'],592.7004261238143,59.84895209740776,61
1,335982,2,['R Dravid' 'W Jaffer' 'V Kohli' 'JH Kallis' 'CL White' 'MV Boucher'],['AB Dinda' 'I Sharma' 'AB Agarkar'],857.658950704225,55.401176378765406,26
2,335983,1,['PA Patel' 'ML Hayden' 'MEK Hussey'],['B Lee' 'S Sreesanth' 'JR Hopes'],804.351223979863,34.295762282422906,53
3,335983,2,['K Goel' 'JR Hopes'],['JDP Oram' 'MS Gony'],162.5175165842261,30.630840496233937,63
4,335984,1,['T Kohli' 'YK Pathan' 'SR Watson' 'M Kaif'],['GD McGrath' 'B Geeves' 'MF Maharoof'],728.5453942049111,25.175942812113032,40
5,335984,2,['G Gambhir' 'V Sehwag' 'S Dhawan'],['MM Patel' 'SR Watson' 'SK Trivedi'],1715.4289508017907,61.88448099269316,55
6,335985,1,['L Ronchi' 'ST Jayasuriya' 'DJ Thornely' 'RV Uthappa' 'PR Shah'],['P Kumar' 'Z Khan' 'JH Kallis'],483.4829903585428,75.41591706845055,47
7,335985,2,['S Chanderpaul' 'R Dravid' 'LRPL Taylor'],['A Nehra' 'SM Pollock' 'DS Kulkarni'],451.92142949976795,53.58355589122596,40
8,335986,1,['AC Gilchrist' 'Y Venugopal Rao' 'VVS Laxman' 'A Symonds'],['AB Dinda' 'I Sharma' 'AB Agarkar'],453.65957850810355,55.401176378765406,39
9,335986,2,['WP Saha' 'BB McCullum' 'RT Ponting' 'SC Ganguly' 'DJ Hussey'],['WPUJC Vaas' 'RP Singh' 'SB Styris'],659.4041305422941,35.31075962835835,26
10,335987,1,['K Goel' 'JR Hopes' 'KC Sangakkara'],['MM Patel' 'SR Watson' 'SK Trivedi'],338.8035153714088,61.88448099269316,54
11,335987,2,['M Kaif' 'YK Pathan' 'Kamran Akmal' 'SR Watson' 'DS Lehmann'],['B Lee' 'S Sreesanth' 'JR Hopes'],606.9466797363984,34.295762282422906,53
12,335988,1,['AC Gilchrist' 'Y Venugopal Rao' 'VVS Laxman' 'A Symonds'],['GD McGrath' 'Mohammad Asif'],453.65957850810355,20.120908016526403,25
13,335988,2,['G Gambhir' 'V Sehwag' 'S Dhawan'],['WPUJC Vaas' 'RP Singh'],1715.4289508017907,43.576612415510496,48
14,335989,1,['PA Patel' 'ML Hayden' 'MEK Hussey' 'SK Raina'],['SM Pollock' 'A Nehra' 'DS Kulkarni'],1135.2999949882146,53.58355589122596,53
15,335989,2,['L Ronchi' 'ST Jayasuriya' 'RV Uthappa' 'SM Pollock'],['JDP Oram' 'MS Gony'],601.1936045644836,30.630840496233937,52
16,335990,1,['AC Gilchrist' 'VVS Laxman' 'Shahid Afridi' 'A Symonds'],['MM Patel' 'SR Watson' 'YK Pathan'],369.05108424805974,57.939320877439116,58
17,335990,2,['Kamran Akmal' 'GC Smith' 'YK Pathan'],['WPUJC Vaas' 'RP Singh' 'PP Ojha'],561.8088984703724,52.1921875310885,73
18,335991,1,['K Goel' 'IK Pathan' 'KC Sangakkara'],['SM Pollock' 'A Nehra' 'DS Kulkarni'],432.5819243088429,53.58355589122596,60
19,335991,2,['L Ronchi' 'ST Jayasuriya' 'RV Uthappa' 'DJ Bravo'],['B Lee' 'IK Pathan' 'VRV Singh' 'S Sreesanth'],735.639339436873,43.90431150971817,39
20,335992,1,['S Chanderpaul' 'R Dravid' 'LRPL Taylor' 'JH Kallis'],['SR Watson' 'Sohail Tanvir' 'MM Patel'],588.2315172716878,48.53944254560324,57
21,335992,2,['GC Smith' 'M Rawat' 'YK Pathan' 'SR Watson'],['P Kumar' 'Z Khan' 'R Vinay Kumar'],783.3636031613682,80.90137333500924,45
22,335993,1,['SC Ganguly' 'BB McCullum' 'RT Ponting' 'WP Saha' 'DJ Hussey'],['JDP Oram' 'MS Gony' 'P Amarnath'],659.4041305422942,26.392205352467645,61
23,335993,2,['PA Patel' 'ML Hayden'],['AB Dinda' 'I Sharma' 'AB Agarkar'],803.8794125194585,55.401176378765406,45
24,335994,1,['L Ronchi' 'ST Jayasuriya' 'AM Rahane' 'RV Uthappa' 'SM Pollock'],['RP Singh' 'DNT Zoysa' 'SB Bangar' 'Shahid Afridi'],803.5873238429745,31.721133273951878,27
25,335994,2,['AC Gilchrist' 'VVS Laxman'],['A Nehra' 'SM Pollock' 'DS Kulkarni' 'ST Jayasuriya' 'SD Chitnis'],486.244358077053,38.92881552593899,60
